date,ECO,PSE,OIL,INTEREST,SNP,GREENUTIL,CONVERSION,CLEANFUEL,STORAGE,DELIVERY,HARVEST
26-Jun-02,125.16,501.05,26.76,1.67,973.53,16.15999985,10.31854649,49.34999847,21.07194909,15.12936852,8.438157362
3-Jul-02,124.49,480.78,26.8,1.69,953.99,16.61499977,10.20920936,48.88000107,20.11673304,13.60214476,8.267777841
10-Jul-02,121.12,458.32,26.77,1.69,920.47,14.92499995,9.969318753,47.40999985,19.31451967,13.13757337,8.504990654
17-Jul-02,116.02,481.61,27.88,1.69,906.04,15.53500033,10.03446344,45.38000107,18.46178761,13.81891188,7.948425836
24-Jul-02,102.84,444.14,26.87,1.66,843.42,13.70500028,10.03446,43.79999924,17.87212109,11.93369375,6.367592521
31-Jul-02,104.2,453.47,27.02,1.68,911.62,15.24500013,9.384104255,44.25,16.37541292,11.54285607,7.043055616
7-Aug-02,100.16,434.41,26.5,1.56,876.77,14.37500036,9.152432237,44.38999939,16.50357962,11.08797334,6.965638753
14-Aug-02,104.59,455,28.15,1.61,919.62,14.96000004,9.740915932,45.77999878,17.03694306,11.25350468,7.117407399
21-Aug-02,109.44,487,29.24,1.6,949.36,16.02000046,10.74603652,46.38999939,17.48777007,12.14881909,7.105463073
28-Aug-02,104.63,449.78,28.34,1.64,917.87,16.44999981,9.396990221,46.54000092,17.75158405,10.68892437,6.63925923
4-Sep-02,101.4,438.19,28.27,1.6,893.4,15.37500024,8.416944003,46.20999908,17.75582347,10.42124968,6.35750015
11-Sep-02,100.84,452.63,29.77,1.66,909.45,14.13499999,8.881678704,46.65000153,18.57843367,11.20785205,6.251768588
18-Sep-02,95.72,424.37,29.48,1.65,869.46,13.76500022,7.858233573,44.5,17.39825271,10.89091204,5.93675915
25-Sep-02,90.31,404,30.64,1.63,839.66,13.01499963,7.3750536,41.49000168,15.20146665,10.67414484,6.083240741
2-Oct-02,85.26,391.4,30.49,1.55,827.91,13.24499977,7.029983534,41.70000076,15.36753429,10.82194067,5.592212833
9-Oct-02,78.78,367.15,29.35,1.54,776.76,11.51000029,5.18609915,40.59000015,14.20680341,9.683912656,4.363546226
16-Oct-02,85.97,410.63,29.47,1.63,860.02,12.78999996,6.22815707,43.97999954,14.09860963,11.35236349,4.790731674
23-Oct-02,95,443.36,28.18,1.65,896.14,13.91000009,7.277658442,43.90000153,13.1523453,13.4034416,5.635823895
30-Oct-02,98.88,449.56,26.81,1.48,890.71,14.0450002,7.532590508,43.11999893,7.910178424,14.26558395,5.921388913
